Instructor,Course,Term,Enroll,Evals_Made,Rcmnd_Class,Rcmnd_Instr,Study_Hrs_wk,Avg_Grade_Expected,Avg_Grade_Received
"Bahadori, Mohammad Yousef",MAE 180A - Spacecraft Guidance I (A),WI08,57,14,100.00%,100.00%,3.79,B+ (3.50),B (3.10)
"Bahadori, Mohammad Yousef",MAE 181 - Space Mission Analysis/Design (A),FA13,57,19,73.70%,94.70%,5.5,B+ (3.44),B- (2.94)
"Lee, Cynthia Bailey",CSE 100 - Advanced Data Structures (A),FA08,58,35,82.90%,85.70%,14.56,B (3.18),B- (2.72)
"Dasgupta, Sanjoy",CSE 101 - Design & Analysis of Algorithm (A),FA07,58,48,72.90%,93.80%,9.71,B (3.27),B- (2.91)
"Kahng, Andrew Byun",CSE 101 - Design & Analysis of Algorithm (A),FA08,58,29,85.20%,60.70%,7.74,B (3.04),B- (2.72)
"Micciancio, Daniele",CSE 105 - Intro/Theory of Computation (A),SP08,58,28,82.10%,75.00%,6.71,B- (2.81),B- (2.97)
"Voelker, Geoffrey M.",CSE 120 - Princ/Computer Operating Systm (A),SP09,58,38,92.10%,100.00%,12.61,B+ (3.43),B- (2.92)
"Polyzos, George C",CSE 123 - Computer Networks (A),SP13,58,19,84.20%,52.60%,6.94,B+ (3.32),B- (2.74)
"Shacham, Hovav",CSE 127 - Intro to Computer Security (A),SP16,58,25,95.70%,95.70%,11.05,B (3.10),B- (2.95)
"Savage, Stefan Roberts",CSE 127 - Intro/Computer Security (A),SP08,58,41,100.00%,100.00%,2.7,A- (3.76),B- (2.94)
"Ord, Richard",CSE 131 - Compiler Construction (A),WI10,58,30,76.70%,93.30%,17.37,B (3.11),C (2.29)
"Rosing, Tajana Simunic",CSE 140 - Component&Desgn Tech/Digtl Sys (C),WI12,58,50,82.00%,74.00%,9.58,C+ (2.69),C+ (2.51)
"Imani, Mohsen",CSE 140L - Digital Systems Laboratory (A),S217,58,50,96.00%,98.00%,6.79,A- (3.78),B+ (3.54)
"Taylor, Michael",CSE 141 - Intro/Computer Architecture (A),SP12,58,25,76.00%,88.00%,13.22,B- (2.96),B (3.08)
"Taylor, Michael",CSE 141L - Project/Computer Architecture (A),SP12,58,18,72.20%,94.40%,15.83,B+ (3.39),B (3.24)
"Saul, Lawrence",CSE 150 - Int Artif Intell:Search&Reason (A),S116,58,40,97.50%,97.50%,10.14,B (3.25),B (3.06)
"Kriegman, David J",CSE 152 - Intro to Computer Vision (A),SP11,58,27,55.60%,51.90%,9.83,B (3.00),B- (3.00)
"Baden, Scott B.",CSE 160 - Intro to Parallel Computing (A),WI13,58,36,94.40%,80.60%,8.94,B+ (3.54),B- (2.96)
"Ochoa, Benjamin Lawrence",CSE 166 - Image Processing (A),FA16,58,23,77.30%,81.80%,8.79,B+ (3.50),B (3.00)
"Paturi, Ramamohan",CSE 190 - Topics/Computer Sci & Engineer (B),FA14,58,17,94.10%,88.20%,7.79,B+ (3.35),B- (2.95)
"Kumar, Rakesh",CSE 190 - Topics/Computer Sci & Engineer (C),SP17,58,44,95.30%,95.30%,4.45,A- (3.78),B+ (3.62)
"Kumar, Rakesh",CSE 190 - Topics/Computer Sci & Engineer (C),WI17,58,44,93.20%,93.20%,3.29,A- (3.79),B+ (3.68)
"Kumar, Rakesh",CSE 190 - Topics/Computer Sci & Engineer (D),WI17,58,47,93.60%,93.60%,4.37,A- (3.76),B+ (3.68)
"Alvarado, Christine J.",CSE 8AL - Intro/Computer Science:JavaLab (B),FA13,58,46,97.70%,100.00%,3.64,A- (3.78),B+ (3.40)
"Lin, Bill",ECE 111 - Advanced Digital Design Proj (B),WI18,58,19,100.00%,100.00%,6.38,B+ (3.53),B (3.17)
"Naghshvar, Mohammad",ECE 153 - Probability&Random Process/Eng (C),SP16,58,48,61.70%,55.30%,9.79,B- (2.93),B- (2.88)
"Harris, Frederick Joel",ECE 161C - Apps of Digital Signal Process (A),SP19,58,20,64.70%,70.60%,8.75,B+ (3.50),B+ (3.51)
"Vasconcelos, Nuno",ECE 161C - Apps of Digital Signal Process (A),SP16,58,54,85.20%,81.50%,6.76,B- (2.94),B- (2.87)
"Vasconcelos, Nuno",ECE 161C - Apps of Digital Signal Process (A),SP15,58,54,90.60%,88.70%,6.88,B (3.27),B- (2.82)
"Hall, Drew A.",ECE 164 - Analog Integrtd Circuit Design (A),FA18,58,30,90.00%,93.10%,13.03,B+ (3.45),B (3.13)
"Rebeiz, Gabriel",ECE 166 - Microwave Systems and Circuits (A),FA09,58,53,100.00%,100.00%,10.03,B+ (3.55),C+ (2.55)
"Vasconcelos, Nuno",ECE 175A - Pattrn Recogn and Machine Lrng (A),WI15,58,54,81.50%,68.50%,9.97,B (3.00),C+ (2.57)
"Shevchenko, Valentin I",ECE 45 - Circuits and Systems (A),S115,58,35,94.10%,91.20%,9.29,B (3.13),B+ (3.30)
"Rohr, James Joseph",MAE 101B - Advanced Fluid Mechanics (A),S213,58,9,87.50%,87.50%,9,B+ (3.63),B (3.02)
"Bahadori, Mohammad Yousef",MAE 110A - Thermodynamics (A),S116,58,10,100.00%,90.00%,11.7,A- (3.70),C+ (2.47)
"Nomura, Keiko K.",MAE 110A - Thermodynamics (A),SU07,58,44,92.90%,95.10%,10.59,B+ (3.33),N/A
"Benson, David J",MAE 130B - Mechanics II: Dynamics (A),WI15,58,21,90.50%,57.10%,7.07,B+ (3.33),B (3.01)
"Anderson, Mark Ronald",MAE 155A - Aerospace Engineering Design I (A),WI17,58,19,100.00%,100.00%,4.61,A- (3.78),A- (3.88)
"Cai, Shengqiang",MAE 21 - Aerospace Materials Science (A),FA18,58,20,100.00%,94.70%,3.1,A- (3.85),A- (3.75)
"Bellare, Mihir",CSE 107 - Intro to Modern Cryptography (A),FA17,59,22,90.90%,90.50%,8.12,B- (2.71),C+ (2.67)
"Pasquale, Joseph",CSE 120 - Princ/Computer Operating Systm (A),FA08,59,34,93.90%,90.60%,8.44,B (3.03),B- (2.90)
"Zhou, Yuan-Yuan",CSE 120 - Princ/Computer Operating Systm (A),FA10,59,22,77.30%,81.80%,9.83,B+ (3.32),B+ (3.38)
"Vianu, Victor Dan",CSE 132A - Database System Principles (A),WI10,59,29,93.10%,89.70%,6.22,B+ (3.31),C+ (2.68)
"Altintas De Callaf, Ilkay",CSE 15L - Software Tools&Techniques Lab (A),S115,59,15,100.00%,85.70%,7.41,A- (3.75),B (3.24)
"Baden, Scott B.",CSE 160 - Intro to Parallel Computing (A),SP15,59,16,71.40%,57.10%,9.21,B (3.07),B- (2.82)
"Kumar, Rakesh",CSE 190 - Topics/Computer Sci & Engineer (A),FA17,59,51,98.00%,100.00%,3.83,A- (3.86),B+ (3.65)
"Graham, Ronald L",CSE 21 - Math/Algorithm&Systems Analys (A),FA07,59,33,87.50%,100.00%,3.17,B+ (3.44),B (3.21)
"Ruvolo, Paul L",CSE 21 - Math/Algorithm&Systems Analys (A),S211,59,33,90.90%,93.90%,8.19,A- (3.74),B+ (3.70)
"Marx, Susan S",CSE 5A - Introduction to Programming I (A),FA12,59,22,89.50%,68.40%,6.92,B+ (3.50),B- (2.94)
"Marx, Susan S",CSE 5A - Introduction to Programming I (A),FA09,59,48,74.50%,89.40%,5.75,B+ (3.33),B- (2.79)
"Lerner, Sorin",CSE 8AL - Intro/Computer Science:JavaLab (A),FA12,59,44,91.90%,91.90%,2.62,B+ (3.64),B (3.18)
"Elkan, Charles Peter",CSE 8AL - Intro/Computer Science:JavaLab (C),WI14,59,31,100.00%,96.80%,3.9,A- (3.72),B (3.20)
"Murillo Arnal, Ana Cristin",CSE 8AL - Intro/Computer Science:JavaLab (E),WI14,59,42,97.60%,88.10%,4.55,B+ (3.68),B (3.10)
"Gillespie, Gary N",CSE 90 - Undergraduate Seminar (A),SP15,59,31,89.30%,92.90%,1.39,A (4.00),N/A
"Cao, Yingjun",CSE 90 - Undergraduate Seminar (B),FA15,59,46,91.30%,97.80%,0.81,A (4.00),N/A
"Groe, John",ECE 102 - Intro/Active Circuit Design (A),SP12,59,23,91.30%,65.20%,11.11,B (3.13),C (2.08)
"Wang, Deli",ECE 103 - Fundamntls/Devices & Materials (A),WI09,59,43,71.40%,38.10%,6.92,B- (2.98),C+ (2.57)
"Yun, Kenneth Yi",ECE 108 - Digital Circuits (A),SP08,59,34,70.60%,91.20%,8.68,B (3.03),C+ (2.59)
"Lin, Bill",ECE 111 - Advanced Digital Design Proj (B),SP18,59,16,93.30%,100.00%,4.5,A- (3.73),B+ (3.59)
"Quest, Kevin B",ECE 120 - Solar System Physics (A),SP19,59,19,94.40%,94.40%,3.94,B+ (3.39),B+ (3.36)
"Esmaili, Gholamreza",ECE 125A - Intro to Power Electronics I (A),WI15,59,17,100.00%,100.00%,9.97,B- (2.71),B- (2.97)
"Mir Arabbaygi, Siavash",ECE 30 - Intro to Computer Engineering (A),WI16,59,18,82.40%,94.10%,7.75,B+ (3.47),C+ (2.56)
"Miller, David R.",MAE 101B - Advanced Fluid Mechanics (A),WI18,59,29,92.00%,80.00%,10.5,B+ (3.38),B (3.04)
"Rohr, James Joseph",MAE 101B - Advanced Fluid Mechanics (A),SU10,59,23,82.60%,78.30%,10.93,B+ (3.39),N/A
"Ezunkpe, Yawo Semanu",MAE 107 - Computational Methods/Engineer (A),S116,59,44,60.50%,53.50%,10.5,B (3.19),B (3.06)
"Anderson, Mark Ronald",MAE 155B - Aerospace Engineering Desgn II (A),SP18,59,18,100.00%,100.00%,7.13,B+ (3.63),B+ (3.66)
"Moshiri, Alexander Niema",CSE 100 - Advanced Data Structures (B),S217,60,28,100.00%,96.40%,14.21,B+ (3.58),N/A
"Tang, Lingjia",CSE 131 - Compiler Construction (B),SP13,60,23,91.30%,95.70%,11.8,A- (3.74),B (3.14)
"Saul, Lawrence",CSE 150 - Int Artif Intell:Search&Reason (A),S117,60,42,90.50%,100.00%,11.6,B (3.15),B (3.02)
"Kastner, Ryan Charles",CSE 8AL - Intro/Computer Science:JavaLab (E),FA13,60,52,100.00%,93.90%,2.8,A- (3.76),B+ (3.46)
"Lin, Bill",ECE 111 - Advanced Digital Design Proj (A),SP18,60,13,91.70%,91.70%,8.33,B+ (3.55),B+ (3.59)
"Guest, Clark C",ECE 15 - Engineering Computation (A),FA07,60,45,73.30%,53.30%,5.74,B- (2.95),C+ (2.42)
"Lugannani, Robert",ECE 153 - Probability&Random Process/Eng (A),FA12,60,26,87.00%,95.70%,7.98,B+ (3.48),B- (2.76)
"Nguyen, Truong Quang",ECE 161B - Digital Signal Processing I (A),WI17,60,29,100.00%,100.00%,8.71,B (3.30),B (3.20)
"Nguyen, Truong Quang",ECE 161B - Digital Signal Processing I (A),WI13,60,32,93.50%,93.50%,6.5,B (3.29),B (3.23)
"Nguyen, Truong Quang",ECE 161B - Digital Signal Processing I (A),WI11,60,28,96.30%,92.60%,7.29,B+ (3.32),B (3.21)
"Sworder, David D.",ECE 171A - Linear Control System Theory (A),SP14,60,20,76.50%,70.60%,6.5,B (3.25),B (3.19)
"Yun, Kenneth Yi",ECE 65 - Components & Circuits (A),SP08,60,25,84.00%,84.00%,7.14,B (3.04),C+ (2.63)
"Sievenpiper, Daniel F.",ECE 65 - Components & Circuits Lab (A),FA10,60,31,90.30%,74.20%,7.73,B (3.29),C+ (2.66)
"Bahadori, Mohammad Yousef",MAE 101B - Advanced Fluid Mechanics (A),WI16,60,21,100.00%,95.20%,6.6,B+ (3.50),C+ (2.66)
"Del Alamo, Juan Carlos",MAE 104 - Aerodynamics (A),FA14,60,16,93.30%,86.70%,7.57,B (3.13),B- (2.78)
"Lubarda, Vlado",MAE 130A - Mechanics I: Statics (A),SU08,60,49,97.90%,100.00%,7.38,B (3.21),N/A
"Nesterenko, Vitali F",MAE 130C - Mechanics III: Vibrations (A),SU08,60,58,79.60%,96.30%,7.66,B+ (3.35),N/A
"Murakami, Hidenori",MAE 131A - Solid Mechanics I (A),FA12,60,28,96.30%,74.10%,6.06,B+ (3.56),B (3.12)
"Jayson, Eric",MAE 150 - Computer-Aided Analysis&Design (A),SP15,60,7,100.00%,100.00%,10.5,B (3.29),B- (2.86)
"Bahadori, Mohammad Yousef",MAE 155A - Aerospace Engineering Design I (A),WI08,60,29,89.70%,89.70%,5.26,B+ (3.52),B (3.04)
"Harrington, Steven Merrill",MAE 155A - Aerospace Engineering Design I (A),WI08,60,29,89.70%,89.70%,5.26,B+ (3.52),B (3.04)
"Anderson, Mark Ronald",MAE 155B - Aerospace Engineering Desgn II (A),SP14,60,21,100.00%,100.00%,7.13,B+ (3.65),B+ (3.59)
"Anderson, Mark Ronald",MAE 155B - Aerospace Engineering Desgn II (A),SP13,60,21,95.20%,95.20%,11.36,A- (3.86),B+ (3.62)
"Cai, Shengqiang",MAE 20 - Elements of Materials Science (A),SP17,60,19,84.20%,84.20%,3.72,B+ (3.33),B+ (3.46)
"Cao, Yingjun",CSE 100 - Advanced Data Structures (A),S216,61,53,94.20%,94.20%,14.29,B+ (3.37),B (3.01)
"Bellare, Mihir",CSE 107 - Intro to Modern Cryptography (A),FA18,61,24,91.30%,78.30%,7.75,B- (2.83),B (3.12)
"Deutsch, Alin Bernard",CSE 132B - Database System Applications (A),SP18,61,24,72.70%,59.10%,6.59,B+ (3.33),B+ (3.37)
"Eldon, John",CSE 140 - Component&Desgn Tech/Digtl Sys (A),S119,61,17,88.20%,76.50%,7.32,B+ (3.35),B (3.01)
"Gaasterland, Theresa",CSE 191 - Semnr/Computer Sci & Engineer (C),SP16,61,28,100.00%,100.00%,1.83,A- (3.96),A- (3.93)
"Murillo Arnal, Ana Cristin",CSE 8AL - Intro/Computer Science:JavaLab (D),WI14,61,37,100.00%,90.60%,4.06,A- (3.84),B (3.10)
"Sworder, David D.",ECE 171A - Linear Control System Theory (A),S114,61,5,40.00%,40.00%,11.3,C+ (2.50),B (3.25)
"Cosman, Pamela C.",ECE 191 - Engineering Group Design Proj (A),WI17,61,16,85.70%,85.70%,11.42,B+ (3.58),B+ (3.57)
"Das, Pankaj K",ECE 30 - Intro to Computer Engineering (A),FA08,61,52,72.50%,79.60%,5.3,B (3.25),B- (2.96)
"Guest, Clark C",ECE 30 - Intro to Computer Engineering (A),FA08,61,52,72.50%,79.60%,5.3,B (3.25),B- (2.96)
"Seshadri, Kalyanasundaram",MAE 101C - Heat Transfer (A),SU10,61,8,87.50%,87.50%,10.5,B+ (3.50),N/A
"Seshadri, Kalyanasundaram",MAE 101C - Heat Transfer (A),SU09,61,18,77.80%,66.70%,8.83,B (3.17),N/A
"Del Alamo, Juan Carlos",MAE 104 - Aerodynamics (A),FA09,61,52,78.80%,86.50%,7.5,B (3.27),C+ (2.62)
"Bar-Yoseph, Pinhas",MAE 113 - Fundamentals of Propulsion (A),WI08,61,46,82.20%,23.90%,5.89,B (3.22),B- (2.89)
"Pawlak, Geno Ronald",MAE 122 - Flow & Transport/Environment (A),FA17,61,22,95.50%,86.40%,7.23,B- (2.77),B- (2.84)
"Jayson, Eric",MAE 150 - Computer-Aided Analysis&Design (A),SP09,61,28,100.00%,92.90%,10.57,B (3.27),B- (2.70)
"de Callafon, Raymond A",MAE 175A - Aerospace Engineering Lab (A),WI11,61,33,78.10%,80.60%,9.19,B+ (3.61),B+ (3.60)
"Micciancio, Daniele",CSE 105 - Intro/Theory of Computation (B),FA15,62,23,78.30%,69.60%,8.33,B (3.09),B- (2.84)
"Zhou, Yuan-Yuan",CSE 120 - Princ/Computer Operating Systm (A),SP10,62,26,69.20%,50.00%,9.35,B- (2.96),B (3.12)
"Ord, Richard",CSE 131 - Compiler Construction (A),WI09,62,49,87.80%,98.00%,16.54,B+ (3.32),B- (2.80)
"Kim, Choon",CSE 140L - Digital Systems Laboratory (A),WI12,62,33,81.30%,90.60%,7.5,B+ (3.63),B+ (3.38)
"Rosing, Tajana Simunic",CSE 140L - Digital Systems Laboratory (A),SP10,62,33,63.60%,69.70%,13.95,B (3.06),C+ (2.46)
"Guo, Philip J",CSE 170 - Interaction Design (A),FA17,62,30,96.40%,100.00%,8.86,A- (3.89),A- (3.88)
"Schulze, Jurgen P.",CSE 190 - Topics/Computer Sci & Engineer (A),SP17,62,23,88.90%,100.00%,9.38,B+ (3.44),B+ (3.56)
"Cao, Yingjun",CSE 30 - Computer Organiz&Systms Progrm (A),S217,62,37,97.30%,100.00%,12.66,B+ (3.66),N/A
"Ord, Richard",CSE 30 - Computer Organiz&Systms Progrm (A),WI09,62,42,100.00%,100.00%,10.64,B+ (3.56),B- (2.91)
"Gillespie, Gary N",CSE 8AL - Intro/Computer Science:JavaLab (B),FA12,62,44,95.30%,90.70%,3.02,A- (3.76),B (3.26)
"Murillo Arnal, Ana Cristin",CSE 8AL - Intro/Computer Science:JavaLab (B),WI14,62,35,91.40%,85.70%,4.75,A- (3.74),B (3.10)
"Alvarado, Christine J.",CSE 8AL - Intro/Computer Science:JavaLab (E),FA12,62,40,87.50%,97.50%,3.95,A- (3.71),B (3.17)
"Esmaili, Gholamreza",ECE 121B - Energy Conversion (A),WI17,62,14,100.00%,100.00%,9.93,B (3.08),B- (2.95)
"Unpingco, Jose H.",ECE 143 - Programming for Data Analysis (A),SP18,62,18,72.20%,77.80%,7.72,B+ (3.59),B+ (3.35)
"Song, Bang Sup",ECE 163 - Electronic Circuits & Systems (A),SP10,62,30,93.10%,62.10%,10.78,B+ (3.52),B (3.05)
"Kreutz-Delgado, Kenneth",ECE 175B - Prob Reasoning & Graphical Mod (A),SP16,62,23,90.90%,95.50%,7.86,B+ (3.45),B+ (3.61)
"Das, Pankaj K",ECE 191 - Engineering Group Design Proj (A),WI15,62,16,100.00%,93.80%,10.63,A- (3.88),B+ (3.63)
"Tu, Charles",ECE 191 - Engineering Group Design Proj (A),WI15,62,16,100.00%,93.80%,10.63,A- (3.88),B+ (3.63)
"Lin, Bill",ECE 25 - Introduction to Digital Design (A),FA07,62,49,91.70%,89.40%,5,B+ (3.53),B (3.11)
"Liu, Zhaowei",ECE 25 - Introduction to Digital Design (A),FA15,62,30,89.70%,82.80%,6.57,B+ (3.36),B+ (3.38)
"Radic, Stojan",ECE 35 - Introduction to Analog Design (A),FA09,62,38,86.80%,76.30%,6.45,B (3.06),C+ (2.66)
"Lugannani, Robert",ECE 45 - Circuits and Systems (A),WI10,62,23,95.50%,100.00%,5.59,B+ (3.36),B- (2.73)
"Seshadri, Kalyanasundaram",MAE 101C - Heat Transfer (A),S111,62,18,94.40%,70.60%,8.94,C+ (2.63),B- (2.85)
"Bahadori, Mohammad Yousef",MAE 110A - Thermodynamics (A),S113,62,20,85.00%,100.00%,10,B+ (3.35),B (3.01)
"Pawlak, Geno Ronald",MAE 122 - Flow & Transport/Environment (A),FA14,62,27,83.30%,83.30%,7.89,B (3.00),B- (2.89)
"Tartakovsky, Daniel",MAE 123 - Intro/Transprt in Porous Media (A),WI15,62,21,95.20%,95.20%,3.6,B (3.14),B (3.25)
"Murakami, Hidenori",MAE 133 - Finite Element Methods in MAE (A),SP12,62,19,94.70%,94.70%,5.87,B+ (3.53),B (3.18)
"Krstic, Miroslav",MAE 143A - Signals and Systems (A),FA09,62,32,87.50%,96.90%,3.88,B+ (3.42),C+ (2.66)
"Delson, Nathan Joseph",MAE 156A - Fund. Prin./Mechanical Desgn I (A),WI18,62,27,38.50%,40.00%,13.12,B (3.23),B (3.27)
"Bewley, Thomas R",MAE 175A - Aerospace Engineering Lab (A),WI08,62,56,69.10%,89.30%,8.39,B (3.13),B (3.28)
"de Callafon, Raymond A",MAE 175A - Aerospace Engineering Lab (A),WI14,62,22,90.00%,90.00%,8.39,B+ (3.37),B+ (3.48)
"de Callafon, Raymond A",MAE 175A - Aerospace Engineering Lab (A),WI08,62,56,69.10%,89.30%,8.39,B (3.13),B (3.28)
"Bahadori, Mohammad Yousef",MAE 181 - Space Mission Analysis/Design (A),FA09,62,48,93.80%,91.70%,5.29,B+ (3.32),B- (2.99)
"Krueger, Ingolf",CSE 110 - Software Engineering (A),SP09,63,33,78.80%,69.70%,10.5,B+ (3.30),C+ (2.50)
"Gillespie, Gary N",CSE 12 - Basic Data Struct & OO Design (A),FA15,63,25,95.70%,95.70%,15.8,B+ (3.57),B (3.06)
"Eldon, John",CSE 141L - Project/Computer Architecture (B),FA14,63,31,61.50%,84.60%,11.3,B- (2.80),B (3.13)
"Ramamoorthi, Ravi",CSE 163 - Advanced Computer Graphics (A),SP17,63,35,90.60%,96.90%,10.94,A- (3.70),B+ (3.47)
"Krueger, Ingolf",CSE 70 - Software Engineering (A),SP09,63,33,78.80%,69.70%,10.5,B+ (3.30),C+ (2.50)
"Gillespie, Gary N",CSE 80 - UNIX Lab (A),WI13,63,18,88.90%,83.30%,4.39,N/A,N/A
"Chaudhuri, Kamalika",CSE 8AL - Intro/Computer Science:JavaLab (A),WI12,63,32,96.80%,90.60%,3.21,B+ (3.40),B (3.22)
"Murillo Arnal, Ana Cristin",CSE 8AL - Intro/Computer Science:JavaLab (A),WI14,63,35,87.90%,87.90%,5.19,A- (3.71),B (3.10)
"Lee, Cynthia Bailey",CSE 8AL - Intro/Computer Science:JavaLab (F),FA12,63,50,95.80%,97.90%,2.89,A- (3.83),B (3.23)
"Kastner, Ryan Charles",CSE 8AL - Intro/Computer Science:JavaLab (H),FA12,63,45,90.90%,93.20%,2.17,A- (3.76),B+ (3.34)
"Simon, Elizabeth A",CSE 8B - Intro/Computer Science: Java (A),SP09,63,34,93.90%,97.10%,10.32,B+ (3.39),B (3.01)
"Hall, Drew A.",ECE 102 - Intro/Active Circuit Design (A),WI14,63,30,96.60%,93.10%,11.4,B (3.28),C+ (2.61)
"Mookherjea, Shayan",ECE 108 - Digital Circuits (A),SP14,63,16,80.00%,73.30%,7.57,B+ (3.40),B+ (3.35)
"Gessner, Richard K.",ECE 141A - Software Foundations I (A),WI19,63,40,100.00%,97.50%,9.05,B+ (3.58),B+ (3.38)
"Rebeiz, Gabriel",ECE 166 - Microwave Systems and Circuits (A),FA18,63,29,100.00%,100.00%,11.71,B+ (3.57),B (3.23)
"Rebeiz, Gabriel",ECE 166 - Microwave Systems and Circuits (A),FA14,63,21,84.20%,84.20%,9.24,A- (3.71),B (3.02)
"Cruz, Rene L",ECE 25 - Introduction to Digital Design (A),WI09,63,38,97.40%,84.20%,5.82,B+ (3.40),B (3.23)
"Krasheninnikov, Sergei",MAE 101A - Introductory Fluid Mechanics (A),FA16,63,21,100.00%,75.00%,5.87,B+ (3.45),B (3.01)
"Seshadri, Kalyanasundaram",MAE 101C - Heat Transfer (A),SU08,63,40,89.70%,88.90%,6.76,B (3.26),N/A
"Llewellyn Smith, Stefan G.",MAE 120 - Introduction to Nuclear Energy (A),SP16,63,19,89.50%,84.20%,6.15,B (3.28),B- (2.76)
"Amaddeo, Carmen N.",MAE 130A - Mechanics I: Statics (B),FA18,63,33,100.00%,93.80%,6.75,B (3.28),B (3.15)
"Friend, James Robert",MAE 130B - Mechanics II: Dynamics (B),SP19,63,57,87.70%,98.20%,9.69,B- (2.91),B (3.14)
"Krstic, Miroslav",MAE 143A - Signals and Systems (A),SU07,63,49,83.00%,93.50%,6.24,B+ (3.34),N/A
"de Callafon, Raymond A",MAE 143B - Linear Control (A),S212,63,5,100.00%,100.00%,8.1,B (3.20),B (3.27)
"Krstic, Miroslav",MAE 143B - Linear Control (A),SU07,63,48,89.40%,97.90%,6.88,B+ (3.53),N/A
"Tolley, Michael Thomas",MAE 150 - Computer-Aided Analysis&Design (A),WI16,63,29,89.30%,92.90%,10.57,B+ (3.48),B- (2.96)
"Gibson, Carl H.",MAE 5 - Quantitative Computer Skills (A),SP08,63,25,92.00%,100.00%,2.74,A- (3.76),B+ (3.39)
"Snoeren, Alex C.",CSE 120 - Princ/Computer Operating Systm (A),SP08,64,56,88.70%,96.30%,12.29,B (3.19),B- (2.95)
"Zhou, Yuan-Yuan",CSE 120 - Princ/Computer Operating Systm (A),FA11,64,29,89.30%,85.70%,11.74,B+ (3.32),B+ (3.40)
"Taylor, Michael",CSE 141L - Project/Computer Architecture (A),SP11,64,32,71.00%,93.50%,15.98,B+ (3.58),B+ (3.35)
"Schulze, Jurgen P.",CSE 165 - 3D User Interaction (A),WI17,64,17,94.10%,100.00%,9.43,A- (3.94),A- (3.79)
"Cao, Yingjun",CSE 95 - Tutor Apprentice (B),FA16,64,55,87.30%,98.20%,1.38,A- (3.88),N/A
"Hall, Drew A.",ECE 102 - Intro/Active Circuit Design (A),FA13,64,41,94.90%,92.30%,12.81,B (3.08),B- (2.73)
"Lomakin, Vitaliy",ECE 107 - Electromagnetism (A),WI12,64,38,94.70%,91.90%,9.64,B+ (3.46),B- (2.79)
"Esener, Sadik C",ECE 108 - Digital Circuits (A),WI09,64,52,78.80%,75.00%,7.62,B (3.18),B- (2.99)
"Lin, Bill",ECE 111 - Advanced Digital Design Proj (B),WI17,64,25,91.30%,95.70%,8.05,B+ (3.48),B+ (3.39)
"Vardy, Alexander",ECE 15 - Engineering Computation (A),WI11,64,20,45.00%,70.00%,12.9,C+ (2.65),C (2.29)
"Franceschetti, Massimo",ECE 45 - Circuits and Systems (A),SP18,64,17,100.00%,81.30%,7.91,B+ (3.59),C+ (2.65)
"Lugannani, Robert",ECE 45 - Circuits and Systems (A),FA18,64,19,83.30%,77.80%,6.06,A- (3.71),B+ (3.32)
"Van Den Einde, Yael Dahlia",MAE 130A - Mechanics I: Statics (A),FA11,64,41,92.70%,92.70%,9.43,B+ (3.47),C+ (2.49)
"Anderson, Mark Ronald",MAE 142 - Dynmcs&Control/Aerospace Vehic (A),WI11,64,34,88.20%,94.10%,5.97,B+ (3.48),B (3.13)
"Anderson, Mark Ronald",MAE 155B - Aerospace Engineering Desgn II (C),SP19,64,19,94.40%,100.00%,7.03,B+ (3.58),A- (3.74)
"Lucas, Andrew J.",MAE 3 - Intro/Engineering Graphcs&Desn (A),FA17,64,60,90.00%,100.00%,12.26,B+ (3.40),B+ (3.32)
"Burkhard, Walter A.",CSE 100 - Advanced Data Structures (A),SP08,65,30,90.00%,40.00%,8.03,B (3.21),B- (2.87)
"Paturi, Ramamohan",CSE 101 - Design & Analysis of Algorithm (A),SU10,65,21,95.00%,85.00%,7.7,B (3.10),N/A
"Micciancio, Daniele",CSE 105 - Intro/Theory of Computation (A),WI10,65,32,93.80%,96.80%,7.81,B+ (3.48),C+ (2.59)
"Gillespie, Gary N",CSE 12 - Basic Data Struct & OO Design (A),FA08,65,48,84.80%,85.10%,11.75,B (3.22),B- (2.75)
"Lerner, Sorin",CSE 130 - Progrmng Lang:Princpl&Paradigm (A),WI10,65,33,97.00%,90.90%,8,B+ (3.38),B- (2.94)
"Deutsch, Alin Bernard",CSE 132B - Database System Applications (A),WI14,65,22,90.90%,86.40%,10.23,A- (3.71),B (3.27)
"Imani, Mohsen",CSE 140 - Component&Desgn Tech/Digtl Sys (A),S217,65,53,96.20%,98.10%,7.64,B+ (3.67),N/A
"Taylor, Michael",CSE 141 - Intro/Computer Architecture (A),SP11,65,35,67.60%,90.90%,13.21,B (3.29),B (3.26)
"Paturi, Ramamohan",CSE 190 - Topics/Computer Sci & Engineer (B),FA16,65,26,92.30%,96.20%,6.83,A- (3.83),B+ (3.63)
"Kumar, Rakesh",CSE 190 - Topics/Computer Sci & Engineer (D),FA15,65,22,90.00%,90.00%,4,B+ (3.65),B+ (3.42)
"Rubalcaba, Robert Ramon",CSE 20 - Intro/Discrete Mathematics (A),S114,65,39,97.40%,97.40%,6.82,A- (3.78),B+ (3.43)
"Marx, Susan S",CSE 5A - Introduction to Programming I (A),SP11,65,19,73.70%,73.70%,7.34,B+ (3.47),B (3.22)
"Siegel, Paul H.",ECE 101 - Linear Systems Fundamentals (A),WI08,65,42,95.20%,100.00%,7.83,B+ (3.40),C+ (2.50)
